id,question_type,span_index,arxiv_id,quote_chars,oracle_rank,oracle@1,oracle@5,oracle@10
f014,factual,0,1706.03458v2,796,1.0,True,True,True
f015,factual,0,1706.03458v2,98,1.0,True,True,True
f016,factual,0,2312.15796v2,536,1.0,True,True,True
f017,factual,0,2312.15796v2,352,1.0,True,True,True
f018,factual,0,2312.15796v2,143,,False,False,False
f019,factual,0,2312.15796v2,565,3.0,False,True,True
f020,factual,0,2312.15796v2,758,2.0,False,True,True
m001,multi_hop,0,2403.10555v1,983,1.0,True,True,True
m001,multi_hop,1,2306.12873v3,914,1.0,True,True,True
m002,multi_hop,0,2306.12873v3,822,1.0,True,True,True
m002,multi_hop,1,2212.12794v2,857,1.0,True,True,True
m003,multi_hop,0,2003.12140v2,796,1.0,True,True,True
m003,multi_hop,1,1506.04214v2,925,1.0,True,True,True
m004,multi_hop,0,2008.08626v2,1234,1.0,True,True,True
m004,multi_hop,1,2002.00469v3,934,1.0,True,True,True
m005,multi_hop,0,2505.24429v2,913,1.0,True,True,True
m005,multi_hop,1,2212.12794v2,1086,5.0,False,True,True
m006,multi_hop,0,2408.11438v3,1326,1.0,True,True,True
m006,multi_hop,1,2002.00469v3,837,,False,False,False
m007,multi_hop,0,2601.09467v1,1128,1.0,True,True,True
m007,multi_hop,1,2211.02556v1,1822,,False,False,False
m008,multi_hop,0,2603.04461v1,677,1.0,True,True,True
m008,multi_hop,1,2007.04417v2,663,4.0,False,True,True
m009,multi_hop,0,1905.09771v1,717,1.0,True,True,True
m009,multi_hop,1,1506.04214v2,1119,1.0,True,True,True
m010,multi_hop,0,2502.16036v1,820,1.0,True,True,True
m010,multi_hop,1,2211.02556v1,1014,1.0,True,True,True
m011,multi_hop,0,2605.14317v1,1014,1.0,True,True,True
m011,multi_hop,1,2308.15560v2,1064,3.0,False,True,True
m012,multi_hop,0,2605.30122v2,800,1.0,True,True,True
m012,multi_hop,1,2007.04417v2,1101,1.0,True,True,True
m013,multi_hop,0,2008.01798v2,990,,False,False,False
m013,multi_hop,1,1506.04214v2,1056,1.0,True,True,True
m014,multi_hop,0,2308.04460v1,811,1.0,True,True,True
m014,multi_hop,1,2211.02556v1,951,3.0,False,True,True
m015,multi_hop,0,2009.14573v6,940,1.0,True,True,True
m015,multi_hop,1,1506.04214v2,899,1.0,True,True,True
m016,multi_hop,0,2203.13263v1,782,1.0,True,True,True
m016,multi_hop,1,1706.03458v2,1116,2.0,False,True,True
m017,multi_hop,0,1907.08069v2,694,,False,False,False
m017,multi_hop,1,1706.03458v2,830,1.0,True,True,True
m018,multi_hop,0,2404.06668v1,810,1.0,True,True,True
m018,multi_hop,1,2212.12794v2,984,1.0,True,True,True
