arxiv_id,chunk_id,title,prose_ratio,chars,text
1506.04214v2,1506.04214v2:28797-31074,Convolutional LSTM Network: A Machine Learning App,0.799,2277,"are coming from the outside. If the ConvLSTM network has seen similar patterns during training, it can discover this type of sudden changes in the encoding netw"
1506.04214v2,1506.04214v2:31075-32178,Convolutional LSTM Network: A Machine Learning App,0.548,1103,1 Correlation 0.9 CSI 0.8 0.7 Time 0 5 10 15 0.5 0.4 0.3 POD FAR 0.2 0.1 0 Time 0 5 10 15 10 1 0.8 0.6 0.4 0.2 Time 0 5 10 15 1 0.8 0.6 0.4 0.2 Time 0 5 10 15 F
1506.08768v1,1506.08768v1:0-2642,Scaling in stratocumulus fields: an emergent prope,0.764,2642,"Scaling in stratocumulus fields: an emergent property Tianle Yuan1,2 1Laboratory for Climate and Radiation, NASA Goddard Space Flight Center 2Joint Center for E"
1506.08768v1,1506.08768v1:2643-4927,Scaling in stratocumulus fields: an emergent prope,0.716,2284,"otherwise overcast cloud deck 6,13,14. Some POCs can punctuate a whole Sc deck and reduce cloud fraction by more than 50% over millions of square miles in a sho"
1506.08768v1,1506.08768v1:4928-7173,Scaling in stratocumulus fields: an emergent prope,0.752,2245,"used to derive with ( is the liquid water density), assuming an adiabatic cloud 28, at 1km resolution. is also available from AMSR-E at 13km resolution23. An au"
1506.08768v1,1506.08768v1:7174-9456,Scaling in stratocumulus fields: an emergent prope,0.76,2282,the coast (between 5S and 25S) and correspondingly cloud fraction remains very high. The internal properties of pouches also undergo dramatic changes within the
1506.08768v1,1506.08768v1:9457-11787,Scaling in stratocumulus fields: an emergent prope,0.787,2330,"in the same way as the smallest ones. Furthermore, the power-law distribution is the hallmark of scale-invariance and self-similarity, which is also demonstrate"
1506.08768v1,1506.08768v1:11788-13974,Scaling in stratocumulus fields: an emergent prope,0.798,2186,"is also insensitive to inter-annual variations. Meanwhile, the absolute number of pouches does have strong diurnal, geographical, seasonal and interannual varia"
1506.08768v1,1506.08768v1:13975-16354,Scaling in stratocumulus fields: an emergent prope,0.77,2379,"pouches in a sense protect themselves by preferentially shedding edge pixels while maintaining the moister centers18. Most critically, power-law distributions a"
1506.08768v1,1506.08768v1:16355-18921,Scaling in stratocumulus fields: an emergent prope,0.774,2566,"we find emergence of macroscopic organization out of repeated local interactions, taking a complex system view. Similar emergent behavior can be found in a host"
1506.08768v1,1506.08768v1:18926-21225,Scaling in stratocumulus fields: an emergent prope,0.651,2299,clouds are for warm (cold) clouds. L can be obtained by multiple values in the figure by 0.83. Note the ‘running dog’ shaped POC spans two distinct regions: the
1506.08768v1,1506.08768v1:21226-22775,Scaling in stratocumulus fields: an emergent prope,0.528,1549,"(2003). 6. Bretherton, C. S. et al. The EPIC 2001 stratocumulus study. B Am Meteorol Soc 85, 967-+ (2004). 7. Wood, R. et al. The VAMOS Ocean-Cloud-Atmosphere-L"
1506.08768v1,1506.08768v1:22776-24386,Scaling in stratocumulus fields: an emergent prope,0.587,1610,"17. Mitchell, M. Complexity: A Guided Tour (Oxford University Press, New York, 2009). 18. Comstock, K. K., Bretherton, C. S. & Yuter, S. E. Mesoscale variabilit"
1506.08768v1,1506.08768v1:24387-26034,Scaling in stratocumulus fields: an emergent prope,0.608,1647,"Wood, R. & HARTMANN, D. L. Spatial variability of liquid water path in marine low cloud: The importance of mesoscale cellular convection. J Climate 19, 17481764"
1506.08768v1,1506.08768v1:26035-26453,Scaling in stratocumulus fields: an emergent prope,0.507,418,"W. D., Zhang, G. J. & Luke, E. P. Investigation of regional and seasonal variations in marine boundary layer cloud properties from MODIS observations. J Climate"
1611.03403v1,1611.03403v1:0-2205,Synergistic Dynamic Theory of Complex Coevolutiona,0.808,2205,"Synergistic Dynamic Theory of Complex Coevolutionary Systems: Disentangling Nonlinear Spatiotemporal Controls on Precipitation Rui A. P. Perdig˜ao∗1, Carlos A. "
1611.03403v1,1611.03403v1:2206-4325,Synergistic Dynamic Theory of Complex Coevolutiona,0.775,2119,"in synergistic terms of the retrieved dynamic sources. 1 Introduction 1.1 Fundamental Motivation The Earth System in general, and the Climate system in particul"
1611.03403v1,1611.03403v1:4326-6594,Synergistic Dynamic Theory of Complex Coevolutiona,0.755,2268,or oscillatory processes [Hocke and K¨ampfer 2008]. A wise statement from the ancient Greek philosopher Aristotle in his Metaphysica compendia and highlighted i
1611.03403v1,1611.03403v1:6595-8860,Synergistic Dynamic Theory of Complex Coevolutiona,0.8,2265,"combinations generate the entire state space, i.e. the problem is reduced to the minimum possible dimensions without information loss. In linear algebra and fun"
1611.03403v1,1611.03403v1:8861-11051,Synergistic Dynamic Theory of Complex Coevolutiona,0.741,2190,"event being a particular realisation of a theoretically or empirically inspired statistical distribution, conditioned or not by signatures of assumed controls i"
1611.03403v1,1611.03403v1:11052-13431,Synergistic Dynamic Theory of Complex Coevolutiona,0.777,2379,"analysis we seek has been more elusive. Among various statistical techniques with diverse levels of sophistication, one of the most popular approaches to the ex"
1611.03403v1,1611.03403v1:13432-15679,Synergistic Dynamic Theory of Complex Coevolutiona,0.778,2247,"associated to prescribed cross moments having been derived by [Pires and Perdig˜ao 2012] independently of data size constraints, and by [Pires and Perdig˜ao 201"
1611.03403v1,1611.03403v1:15680-18099,Synergistic Dynamic Theory of Complex Coevolutiona,0.775,2419,large scale features captured by the statistics. This is a common aspect of all statistical techniques involving blind source separation [Yu et al. 2014]. The c
1611.03403v1,1611.03403v1:18100-20339,Synergistic Dynamic Theory of Complex Coevolutiona,0.769,2239,information) even in a coevolutionary setting whereby space and time are nonlinearly entangled by relative celerities. 2 Dynamic Source Analysis: a Synergistic 
1611.03403v1,1611.03403v1:20340-22457,Synergistic Dynamic Theory of Complex Coevolutiona,0.703,2117,"Ys,t denote the set of observables, i.e. the physical variables or fields that are observed, measured and recorded in spatiotemporal datasets, where s represent"
1611.03403v1,1611.03403v1:22458-24739,Synergistic Dynamic Theory of Complex Coevolutiona,0.773,2281,"or distribution. Our goal is to retrieve the dynamic sources Xs,t from the observational datasets Ys,t that minimise the dynamic dependence (linear and non-line"
1611.03403v1,1611.03403v1:24740-26721,Synergistic Dynamic Theory of Complex Coevolutiona,0.671,1981,the number of factors needed to fully characterise the system. 2.2 Nonlinear Diagonalisation of Dynamic Interactions Dynamic Source Analysis seeks dynamically i
1611.03403v1,1611.03403v1:26722-28997,Synergistic Dynamic Theory of Complex Coevolutiona,0.819,2275,"from Y. In practice, the dynamical systems of interest shall be generic spatiotemporal fields spanning phase space manifolds. These are topological spaces that,"
1611.03403v1,1611.03403v1:28998-31207,Synergistic Dynamic Theory of Complex Coevolutiona,0.727,2209,"ensures independence among components at every stage of the dynamics (dynamic independence), rather than only over a statistical aggregate (statistical independ"
1611.03403v1,1611.03403v1:31208-33161,Synergistic Dynamic Theory of Complex Coevolutiona,0.659,1953,"for X that minimises the off-diagonal functionals defined by νk(X) = ||Dk(X) −Λk||2 , ∀k (7) with || · ||2 ≡⟨·, ·⟩, i.e. the quadratic norm or self inner produc"
1611.03403v1,1611.03403v1:33162-35028,Synergistic Dynamic Theory of Complex Coevolutiona,0.689,1866,"X = α⩽β k!−1 h i Dk(X) R Xk, (5) k!−1[Λk]R Xk . (6) ⟨dαg, dαh⟩L2(Θ) (8) Z [dαg]∗dαh dµ (9) Θ 10 Synergistic Dynamic Theory of Complex Coevolutionary Systems Per"
1611.03403v1,1611.03403v1:35029-37349,Synergistic Dynamic Theory of Complex Coevolutiona,0.793,2320,"the invariance of the information content within the system, i.e. that no information has been lost or spuriously added in the procedure. In the dynamic source "
1611.03403v1,1611.03403v1:37350-39355,Synergistic Dynamic Theory of Complex Coevolutiona,0.694,2005,"Moreover, spatial and temporal subspaces are not necessarily independent. In fact, the spatial reference can be time-dependent, as expressed via spatiotemporal "
1611.03403v1,1611.03403v1:39356-41131,Synergistic Dynamic Theory of Complex Coevolutiona,0.551,1775,"the inner product defined in equation (8), involving multiple-order interactions. By noting that the gradient of a generic coordinate l is given by ∇s,t(l) = el"
1611.03403v1,1611.03403v1:41132-43251,Synergistic Dynamic Theory of Complex Coevolutiona,0.705,2119,"other in the functional sense. Essentially, the operator performs a contraction or dimensionality reduction in the functional manifold X into a submanifold in a"
1611.03403v1,1611.03403v1:43252-45371,Synergistic Dynamic Theory of Complex Coevolutiona,0.695,2119,"13 Synergistic Dynamic Theory of Complex Coevolutionary Systems Perdig˜ao, Pires and Hall 4 Evaluation of Dynamical Predictability 4.1 Dynamic Interaction Analy"
1611.03403v1,1611.03403v1:45372-47346,Synergistic Dynamic Theory of Complex Coevolutiona,0.622,1974,"(18) where Υ(.) is as in equation (12) and its operand given by equation (17). Analogously for time, the temporal structure captured over a certain spatial regi"
1611.03403v1,1611.03403v1:47347-49642,Synergistic Dynamic Theory of Complex Coevolutiona,0.771,2295,"for k > 1), this equation can then address changes in dynamical tendencies in terms of nonlinearly interacting processes. 5 Dynamic Source Analysis of Nonlinear"
1611.03403v1,1611.03403v1:49643-51843,Synergistic Dynamic Theory of Complex Coevolutiona,0.721,2200,"Theory of Complex Coevolutionary Systems Perdig˜ao, Pires and Hall One of the most reliable and popular datasets with geopotential height fields stems from the "
1611.03403v1,1611.03403v1:51844-54218,Synergistic Dynamic Theory of Complex Coevolutiona,0.786,2374,"information-invariant, differential-geometric transformation between the original state space and a working space for optimal statistical analysis without loss "
1611.03403v1,1611.03403v1:54219-56601,Synergistic Dynamic Theory of Complex Coevolutiona,0.788,2382,which suggest the existence of stronger controls being enforced on the geopotential over the areas where that reduction is strongest. The geopotential thus serv
1611.03403v1,1611.03403v1:56602-58881,Synergistic Dynamic Theory of Complex Coevolutiona,0.815,2279,"the physical consistency and nonlinear disambiguation constraints in section 2.5. In practice, the dynamical interactions are evaluated for k ⩽β, where β is the"
1611.03403v1,1611.03403v1:58882-60964,Synergistic Dynamic Theory of Complex Coevolutiona,0.718,2082,"(12) with l ≡s on X ≡Xs,t, by taking into account all climatology partitions within the period 1951-2012, i.e. of all sub periods obtained by differential parti"
1611.03403v1,1611.03403v1:60965-63321,Synergistic Dynamic Theory of Complex Coevolutiona,0.834,2356,"to ICA, DSA has the added value that not only the statistical climatological aggregate is independent, but also the dynamics within. That way, dynamic informati"
1611.03403v1,1611.03403v1:63322-65161,Synergistic Dynamic Theory of Complex Coevolutiona,0.656,1839,relating spatial and temporal structures of the dynamic sources underlying the geopotential height field at 500 hPa is given by the projection of the full spati
1611.03403v1,1611.03403v1:65162-67486,Synergistic Dynamic Theory of Complex Coevolutiona,0.836,2324,and the latter feeding back on the structural properties of the former. A detailed investigation of the dynamical links beneath Negentropy beyond these conjectu
1611.03403v1,1611.03403v1:67487-69478,Synergistic Dynamic Theory of Complex Coevolutiona,0.611,1991,measures of dynamic dependence between Precipitation and the Dynamic Sources of the Geophysical Controls for all climatology partitions within the study period.
1611.03403v1,1611.03403v1:69479-71595,Synergistic Dynamic Theory of Complex Coevolutiona,0.701,2116,"denote the ensemble mean of the dynamical interactions between NS randomly shuffled realisations of X and Z, with independent shuffling applied to each variable"
1611.03403v1,1611.03403v1:71596-73709,Synergistic Dynamic Theory of Complex Coevolutiona,0.735,2113,information-theoretical analysis conducted by [Pires and Perdig˜ao 2007] at the Euro-Atlantic scale. 23 Synergistic Dynamic Theory of Complex Coevolutionary Sys
1611.03403v1,1611.03403v1:73710-76041,Synergistic Dynamic Theory of Complex Coevolutiona,0.86,2331,"newly extracted Meridional Dynamic Source, now with a nonlinear dynamical perspective on the NAO complementing the previous nonlinear statistical, information-t"
1611.03403v1,1611.03403v1:76042-78085,Synergistic Dynamic Theory of Complex Coevolutiona,0.656,2043,"(spatial) and 60-year (temporal) scales, but also a whole spectrum within, down to spatiotemporal resolution limits (time step, grid size). Therefore, each pixe"
1611.03403v1,1611.03403v1:78086-80273,Synergistic Dynamic Theory of Complex Coevolutiona,0.747,2187,"Law of Thermodynamics. While the fundamental basis functionals X are independent, their impact on P as formulated in N k T (·) is indeed adjusted (internal feed"
1611.03403v1,1611.03403v1:80274-82417,Synergistic Dynamic Theory of Complex Coevolutiona,0.781,2143,"Systems Perdig˜ao, Pires and Hall the former roughly encompasses the Loire Region in France, and the latter the Upper Danube Region in Central Europe. In geodes"
1611.03403v1,1611.03403v1:82418-84379,Synergistic Dynamic Theory of Complex Coevolutiona,0.582,1961,to occur at the levels that would otherwise be expected given favourable low pressure conditions. While moisture content in the atmosphere is not explicitly cha
1611.03403v1,1611.03403v1:84380-86329,Synergistic Dynamic Theory of Complex Coevolutiona,0.589,1949,Figure 8: Dynamic Simulation of the monthly precipitation from the interacting Zonal and Meridional Sources (blue distributions with median in darker blue) and 
1611.03403v1,1611.03403v1:86330-88454,Synergistic Dynamic Theory of Complex Coevolutiona,0.768,2124,"components without loss of information. This enables data compression beyond the traditional feature extraction and information theoretical methods, by disentan"
1611.03403v1,1611.03403v1:88455-90669,Synergistic Dynamic Theory of Complex Coevolutiona,0.834,2214,"with itself. The coevolutionary nature of the problem is then concentrated along the ”diagonal spine” of the dynamical system, i.e. the diagonal of its dynamic "
1611.03403v1,1611.03403v1:90670-93010,Synergistic Dynamic Theory of Complex Coevolutiona,0.839,2340,"responsible for increasing or reducing the blocking risk in synoptic atmospheric processes. In fact, the BGO is associated to the zonal maritime-continental pre"
1611.03403v1,1611.03403v1:93011-95256,Synergistic Dynamic Theory of Complex Coevolutiona,0.733,2245,"feature extraction and inverse dynamic modelling from large datasets (big data), complex network design, dynamic model building and architecture optimisation of"
1611.03403v1,1611.03403v1:95257-97260,Synergistic Dynamic Theory of Complex Coevolutiona,0.656,2003,"XB) (28) In fact, when the sources are independent, I(XA, XB) = 0 and thus IT (XA, XB, Y) ⩾0. 33 Synergistic Dynamic Theory of Complex Coevolutionary Systems Pe"
1611.03403v1,1611.03403v1:97261-99076,Synergistic Dynamic Theory of Complex Coevolutiona,0.579,1815,"1 ⩽i ⩽j ⩽n and every k ⩽n. The subspace constituents Xα are not necessarily independent from each other. Instead, they can interact through binding functionals "
1611.03403v1,1611.03403v1:99077-100308,Synergistic Dynamic Theory of Complex Coevolutiona,0.77,1231,"#Xα,k = X. (33) with α,i denoting the ith partition member and k denoting the cardinality of the partition (i.e. the number of its members). The interacting sub"
1706.03458v2,1706.03458v2:0-2184,Deep Learning for Precipitation Nowcasting: A Benc,0.819,2184,"Deep Learning for Precipitation Nowcasting: A Benchmark and A New Model Xingjian Shi, Zhihan Gao, Leonard Lausen, Hao Wang, Dit-Yan Yeung Department of Computer"
1706.03458v2,1706.03458v2:2185-4483,Deep Learning for Precipitation Nowcasting: A Benc,0.839,2298,"road conditions, enhances flight safety by providing weather guidance for regional aviation, and avoids casualties by issuing citywide rainfall alerts. In addit"
1706.03458v2,1706.03458v2:4484-6870,Deep Learning for Precipitation Nowcasting: A Benc,0.791,2386,at the 0.5mm/h rain-rate threshold is compared. As real-world precipitation nowcasting systems need to pay additional attention to heavier rainfall events such 
1706.03458v2,1706.03458v2:6871-9201,Deep Learning for Precipitation Nowcasting: A Benc,0.839,2330,"the Balanced Mean Squared Error (B-MSE) and Balanced Mean Absolute Error (B-MAE) measures for training and evaluation, which assign more weights to heavier rain"
1706.03458v2,1706.03458v2:9202-11415,Deep Learning for Precipitation Nowcasting: A Benc,0.777,2213,"and video prediction For the precipitation nowcasting problem, the reflectivity factors in radar echo maps are first transformed to grayscale images before bein"
1706.03458v2,1706.03458v2:11416-13580,Deep Learning for Precipitation Nowcasting: A Benc,0.771,2164,network’s ability to model the spatiotemporal relationship. Other than the ConvLSTM which replaces the full-connection with convolution and is designed for dens
1706.03458v2,1706.03458v2:13581-15271,Deep Learning for Precipitation Nowcasting: A Benc,0.582,1690,", . . . , Hn t , H2 t = h(It−J+1, It−J+2, . . . , It), and then uses another n layers of RNNs to generate the predictions based on these encoded states: ˆIt+1, "
1706.03458v2,1706.03458v2:15272-17199,Deep Learning for Precipitation Nowcasting: A Benc,0.693,1927,"equals to 0.2 [20] througout the paper. H, W are the height and width of the state and input tensors and Ch, Ci are the channel sizes of the state and input ten"
1706.03458v2,1706.03458v2:17200-18927,Deep Learning for Precipitation Nowcasting: A Benc,0.623,1727,the recurrent connections are fixed over time. Downsample Downsample Upsample Upsample RNN RNN RNN RNN Convolution Convolution Convolution Convolution Figure 1:
1706.03458v2,1706.03458v2:18928-20508,Deep Learning for Precipitation Nowcasting: A Benc,0.502,1580,"Wl hh are the weights for projecting the channels, which are implemented by 1 × 1 convolutions. The warp(Ht−1, Ut,l, Vt,l) function selects the positions pointe"
1706.03458v2,1706.03458v2:20509-22523,Deep Learning for Precipitation Nowcasting: A Benc,0.715,2014,4.77M 4.83M 29.06M 32.52M Test MSE ×10−2 1.495 1.310 1.254 1.351 1.247 1.170 1.138 1.461 1.681 1.637 Standard Deviation ×10−2 0.003 0.004 0.006 0.020 0.015 0.02
1706.03458v2,1706.03458v2:22524-24764,Deep Learning for Precipitation Nowcasting: A Benc,0.751,2240,"For TrajGRU, we initialize the weight of the output layer of the structure generating network to zero. The strides of the middle downsampling and upsampling lay"
1706.03458v2,1706.03458v2:24765-26902,Deep Learning for Precipitation Nowcasting: A Benc,0.74,2137,"to right we display the learned structure at the first, second and third layer of the encoder. The links displayed here have learned behaviour for rotations. We"
1706.03458v2,1706.03458v2:26903-28925,Deep Learning for Precipitation Nowcasting: A Benc,0.615,2022,algorithms can apply online learning to adapt to the newly emerging spatiotemporal patterns. We propose two settings in our evaluation protocol: (1) the offline
1706.03458v2,1706.03458v2:28926-30853,Deep Learning for Precipitation Nowcasting: A Benc,0.734,1927,"intensity x: w(x) = masked pixels have weight 0. The resulting B-MSE and B-MAE scores are computed as B-MSE = j=1 wn,i,j(xn,i,j −ˆxn,i,j)2 and B-MAE = 1 j=1 wn,"
1706.03458v2,1706.03458v2:30854-32793,Deep Learning for Precipitation Nowcasting: A Benc,0.71,1939,"we train 2D CNN, 3D CNN, ConvGRU and TrajGRU models using three different random seeds and report the standard deviation in Table 4. We find that training with "
1706.03458v2,1706.03458v2:32794-33776,Deep Learning for Precipitation Nowcasting: A Benc,0.112,982,↑ B-MSE ↓B-MAE ↓ r ≥0.5 r ≥2 r ≥5 r ≥10 r ≥30 r ≥0.5 r ≥2 r ≥5 r ≥10 r ≥30 Offline Setting Last Frame 0.4022 0.3266 0.2401 0.1574 0.0692 0.5207 0.4531 0.3582 0.
1706.03458v2,1706.03458v2:33777-34854,Deep Learning for Precipitation Nowcasting: A Benc,0.247,1077,0.5736 0.4766 0.3733 0.2220 6690 16903 ConvGRU 0.5511 0.4737 0.3742 0.2843 0.1837 0.6712 0.6105 0.5183 0.4226 0.2981 5724 14772 TrajGRU 0.5563 0.4798 0.3808 0.2
1706.03458v2,1706.03458v2:34855-36239,Deep Learning for Precipitation Nowcasting: A Benc,0.541,1384,0.0019 0.0024 0.0006 0.0012 0.0019 0.0023 0.0031 30 69 TrajGRU 0.0008 0.0004 0.0002 0.0002 0.0002 0.0007 0.0004 0.0002 0.0002 0.0003 10 20 Table 5: Kendall’s τ 
1706.03458v2,1706.03458v2:36240-38458,Deep Learning for Precipitation Nowcasting: A Benc,0.727,2218,We will also try to build an operational nowcasting system using the proposed algorithm. 9 Acknowledgments This research has been supported by General Research 
1706.03458v2,1706.03458v2:38459-40092,Deep Learning for Precipitation Nowcasting: A Benc,0.407,1633,"in Table 7, 8, 9, 10, 11. Table 7: The details of the 2D CNN model. The two dimensions in kernel, stride, pad and other features represent for height and width."
1706.03458v2,1706.03458v2:40093-41384,Deep Learning for Precipitation Nowcasting: A Benc,0.167,1291,Out Res Type Input enc1 4 × 4 × 4 2 × 2 × 2 1 × 1 × 1 1/c 10 × 64 × 64 5 × 32 × 32 Conv in enc2 4 × 4 × 4 2 × 2 × 2 1 × 1 × 1 c/2c 5 × 32 × 32 2 × 16 × 16 Conv 
1706.03458v2,1706.03458v2:41385-42814,Deep Learning for Precipitation Nowcasting: A Benc,0.242,1429,- 64/64 64 × 64 32 × 32 Conv ernn1 - ernn2 3 × 3 1 × 1 1 × 1 k × k d × d 64/96 32 × 32 32 × 32 ConvGRU edown1 - edown2 3 × 3 2 × 2 1 × 1 - - 96/96 32 × 32 16 × 
1706.03458v2,1706.03458v2:42815-44195,Deep Learning for Precipitation Nowcasting: A Benc,0.203,1380,model. The output of the ‘fconv4‘ layer will be used to transform the previous prediction or the last input frame. All hyperparameters have the same meaning as 
1706.03458v2,1706.03458v2:44196-45570,Deep Learning for Precipitation Nowcasting: A Benc,0.193,1374,3 × 3 1 × 1 1 × 1 - 4/16 64 × 64 64 × 64 Conv in - ernn1 3 × 3 1 × 1 1 × 1 l 16/64 64 × 64 64 × 64 TrajGRU econv1 - edown1 3 × 3 2 × 2 1 × 1 - 64/64 64 × 64 32 
1706.03458v2,1706.03458v2:45571-47711,Deep Learning for Precipitation Nowcasting: A Benc,0.726,2140,"in the frame, we use the ratio of its pixel value PN equal to 1, 2, ..., 255 as the feature xi ∼R255 and estimate these features’ sample mean ˆµ = i=1 xi N and "
1706.03458v2,1706.03458v2:47712-49404,Deep Learning for Precipitation Nowcasting: A Benc,0.443,1692,"Algorithm 1 Evaluation protocol in the HKO-7 benchmark 1: procedure HKO7TEST(model, type) 2: env ←GETENV(type) 3: while not env.end() do 4: I1:J, fe ←env.next()"
1706.03458v2,1706.03458v2:49405-50631,Deep Learning for Precipitation Nowcasting: A Benc,0.119,1226,4 × 4 2 × 2 1 × 1. 16c/16c 4 × 4 8 × 8 Deconv vid1 vid3 4 × 4 2 × 2 1 × 1. 16c/8c 8 × 8 16 × 16 Deconv vid2 vid4 4 × 4 2 × 2 1 × 1. 8c/4c 16 × 16 32 × 32 Deconv
1706.03458v2,1706.03458v2:50632-51879,Deep Learning for Precipitation Nowcasting: A Benc,0.102,1247,× 16 20 × 32 × 32 Deconv vid3 vid5 3 × 5 × 5 1 × 3 × 3 1 × 1 × 1. c/8 20 × 32 × 32 20 × 96 × 96 Deconv vid4 vid6 3 × 7 × 7 1 × 5 × 5 1 × 1 × 1. 8/8 20 × 96 × 96
1706.03458v2,1706.03458v2:51880-53050,Deep Learning for Precipitation Nowcasting: A Benc,0.104,1170,fdeconv4 7 × 7 5 × 5 1 × 1 - - 64/8 96 × 96 480 × 480 Deconv frnn3 - fconv5 1 × 1 1 × 1 0 × 0 - - 8/1 480 × 480 480 × 480 Conv fdeconv4 - 16 Table 16: The detai
1711.02316v1,1711.02316v1:0-2103,DeepRain: ConvLSTM Network for Precipitation Predi,0.766,2103,"DEEPRAIN: CONVLSTM NETWORK FOR PRECIPITATION. . . DEEPRAIN: CONVLSTM NETWORK FOR PRECIPITATION PREDICTION USING MULTICHANNEL RADAR DATA Seongchan Kim1, Seungkyu"
1711.02316v1,1711.02316v1:2104-4245,DeepRain: ConvLSTM Network for Precipitation Predi,0.789,2141,"Big Data Science, UST-KISTI, Korea; Dept. of 3S&T Information Science, UST-KISTI, Korea and others [1], [3] have tried using combinations of these. Primarily, c"
1711.02316v1,1711.02316v1:4246-6461,DeepRain: ConvLSTM Network for Precipitation Predi,0.769,2215,is more effective for predicting rainfall than linear regression and fully connected LSTM (FCLSTM). This paper presents the rainfall forecasting model proposed 
1711.02316v1,1711.02316v1:6462-8259,DeepRain: ConvLSTM Network for Precipitation Predi,0.583,1797,"Figure 2.) That is, a total of 612,060 (=101 * 101 * 4 * 15) numerical values are listed. The ground truth is the measured rainfall amount (mm3) from 1 h to 2 h"
1711.02316v1,1711.02316v1:8260-10328,DeepRain: ConvLSTM Network for Precipitation Predi,0.713,2068,"By doing this, a fully connected layer is replaced with a convolutional layer, and then the number of weight parameters in the model can be significantly reduce"
1711.02316v1,1711.02316v1:10329-12399,DeepRain: ConvLSTM Network for Precipitation Predi,0.768,2070,using Adam and Gradient Descendant Optimizer (GDO). A further experiment confirmed that FC-LSTM with GDO required 300 epochs to reduce the loss from 15.5 to 14.
1711.02316v1,1711.02316v1:12400-13171,DeepRain: ConvLSTM Network for Precipitation Predi,0.752,771,to compare ConvLSTM and expand the data set with several data augmentation techniques to enhance the performance. The augmentation technique will include croppi
1812.10915v1,1812.10915v1:0-2270,Spatiotemporal Data Fusion for Precipitation Nowca,0.809,2270,"Spatiotemporal Data Fusion for Precipitation Nowcasting Vladimir Ivashkin Yandex, Moscow, Russia vlivashkin@yandex-team.ru Vadim Lebedev Yandex, Moscow, Russia "
