id,question_type,span_index,arxiv_id,quote_chars,oracle_rank,chars_before_hit,hit_chunk_chars,oracle@1,oracle@5,oracle@10
f003,factual,0,1506.04214v2,480,1.0,0.0,3742.0,True,True,True
f004,factual,0,1506.04214v2,135,1.0,0.0,3414.0,True,True,True
f005,factual,0,1506.04214v2,133,2.0,4603.0,3891.0,False,True,True
f006,factual,0,2212.12794v2,230,,,,False,False,False
f007,factual,0,2212.12794v2,215,,,,False,False,False
f008,factual,0,2212.12794v2,143,4.0,10034.0,4535.0,False,True,True
f009,factual,0,2212.12794v2,172,,,,False,False,False
f010,factual,0,2212.12794v2,271,1.0,0.0,3640.0,True,True,True
f011,factual,0,1706.03458v2,704,1.0,0.0,2954.0,True,True,True
f012,factual,0,1706.03458v2,460,,,,False,False,False
f013,factual,0,2507.19513v1,1155,1.0,0.0,3226.0,True,True,True
f014,factual,0,1706.03458v2,796,1.0,0.0,3308.0,True,True,True
f015,factual,0,1706.03458v2,98,1.0,0.0,3587.0,True,True,True
f016,factual,0,2312.15796v2,536,1.0,0.0,3441.0,True,True,True
f017,factual,0,2312.15796v2,352,5.0,16036.0,4211.0,False,True,True
f018,factual,0,2312.15796v2,143,,,,False,False,False
f019,factual,0,2312.15796v2,565,1.0,0.0,4471.0,True,True,True
f020,factual,0,2312.15796v2,758,2.0,3598.0,4262.0,False,True,True
m001,multi_hop,0,2403.10555v1,983,1.0,0.0,4453.0,True,True,True
m001,multi_hop,1,2306.12873v3,914,1.0,0.0,4414.0,True,True,True
m002,multi_hop,0,2306.12873v3,822,1.0,0.0,3749.0,True,True,True
m002,multi_hop,1,2212.12794v2,857,1.0,0.0,3909.0,True,True,True
m003,multi_hop,0,2003.12140v2,796,1.0,0.0,4596.0,True,True,True
m003,multi_hop,1,1506.04214v2,925,,,,False,False,False
m004,multi_hop,0,2008.08626v2,1234,1.0,0.0,4242.0,True,True,True
m004,multi_hop,1,2002.00469v3,934,1.0,0.0,4074.0,True,True,True
m005,multi_hop,0,2505.24429v2,913,,,,False,False,False
m005,multi_hop,1,2212.12794v2,1086,,,,False,False,False
m006,multi_hop,0,2408.11438v3,1326,1.0,0.0,4784.0,True,True,True
m006,multi_hop,1,2002.00469v3,837,,,,False,False,False
m007,multi_hop,0,2601.09467v1,1128,,,,False,False,False
m007,multi_hop,1,2211.02556v1,1822,,,,False,False,False
m008,multi_hop,0,2603.04461v1,677,1.0,0.0,4439.0,True,True,True
m008,multi_hop,1,2007.04417v2,663,4.0,9150.0,4735.0,False,True,True
m009,multi_hop,0,1905.09771v1,717,,,,False,False,False
m009,multi_hop,1,1506.04214v2,1119,,,,False,False,False
m010,multi_hop,0,2502.16036v1,820,1.0,0.0,3888.0,True,True,True
m010,multi_hop,1,2211.02556v1,1014,1.0,0.0,3667.0,True,True,True
m011,multi_hop,0,2605.14317v1,1014,1.0,0.0,4508.0,True,True,True
m011,multi_hop,1,2308.15560v2,1064,1.0,0.0,3813.0,True,True,True
m012,multi_hop,0,2605.30122v2,800,,,,False,False,False
m012,multi_hop,1,2007.04417v2,1101,1.0,0.0,4092.0,True,True,True
m013,multi_hop,0,2008.01798v2,990,,,,False,False,False
m013,multi_hop,1,1506.04214v2,1056,1.0,0.0,3734.0,True,True,True
m014,multi_hop,0,2308.04460v1,811,1.0,0.0,4463.0,True,True,True
m014,multi_hop,1,2211.02556v1,951,1.0,0.0,3474.0,True,True,True
m015,multi_hop,0,2009.14573v6,940,1.0,0.0,3948.0,True,True,True
m015,multi_hop,1,1506.04214v2,899,1.0,0.0,4603.0,True,True,True
m016,multi_hop,0,2203.13263v1,782,,,,False,False,False
m016,multi_hop,1,1706.03458v2,1116,,,,False,False,False
m017,multi_hop,0,1907.08069v2,694,,,,False,False,False
m017,multi_hop,1,1706.03458v2,830,1.0,0.0,3866.0,True,True,True
m018,multi_hop,0,2404.06668v1,810,1.0,0.0,4916.0,True,True,True
m018,multi_hop,1,2212.12794v2,984,,,,False,False,False
