id,question_type,difficulty,n_evidence,n_papers,n_relevant_chunks,n_retrieved,scorable,mrr,first_hit_rank,recall@1,coverage@1,ndcg@1,hit_spans@1,recall@3,coverage@3,ndcg@3,hit_spans@3,recall@5,coverage@5,ndcg@5,hit_spans@5,recall@10,coverage@10,ndcg@10,hit_spans@10,recall@20,coverage@20,ndcg@20,hit_spans@20,recall@B5000,coverage@B5000,k@B5000,hit_spans@B5000,recall@B10000,coverage@B10000,k@B10000,hit_spans@B10000,recall@B20000,coverage@B20000,k@B20000,hit_spans@B20000,recall@B40000,coverage@B40000,k@B40000,hit_spans@B40000
c005,comparative,medium,2,2,4,50,True,0.022222222222222223,45.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,5.0,,0.0,0.0,10.0,,0.0,0.0,21.0,,0.0,0.0,39.0,
c006,comparative,medium,2,2,3,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,5.0,,0.0,0.0,10.0,,0.0,0.0,21.0,,0.0,0.0,41.0,
c007,comparative,easy,2,2,3,50,True,0.5,2.0,0.0,0.0,0.0,,1.0,0.5,0.2960819109658652,0,1.0,0.5,0.2960819109658652,0,1.0,0.5,0.4525081529734507,0,1.0,0.5,0.4525081529734507,0,1.0,0.5,5.0,0,1.0,0.5,10.0,0,1.0,0.5,20.0,0,1.0,0.5,40.0,0
c008,comparative,hard,2,2,4,50,True,0.04,25.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,5.0,,0.0,0.0,10.0,,0.0,0.0,20.0,,1.0,0.5,41.0,0
c009,comparative,hard,2,2,4,50,True,1.0,1.0,1.0,0.5,1.0,1,1.0,1.0,0.7039180890341347,0;1,1.0,1.0,0.5855700749881525,0;1,1.0,1.0,0.5855700749881525,0;1,1.0,1.0,0.772975709219515,0;1,1.0,1.0,4.0,0;1,1.0,1.0,8.0,0;1,1.0,1.0,17.0,0;1,1.0,1.0,36.0,0;1
c010,comparative,medium,2,2,3,50,True,1.0,1.0,1.0,0.5,1.0,1,1.0,0.5,0.46927872602275644,1,1.0,0.5,0.46927872602275644,1,1.0,0.5,0.46927872602275644,1,1.0,0.5,0.46927872602275644,1,1.0,0.5,4.0,1,1.0,0.5,9.0,1,1.0,0.5,19.0,1,1.0,0.5,39.0,1
c011,comparative,hard,2,2,4,50,True,0.09090909090909091,11.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.20881466758936754,0;1,0.0,0.0,5.0,,0.0,0.0,10.0,,1.0,1.0,21.0,0;1,1.0,1.0,43.0,0;1
c012,comparative,hard,2,2,4,50,True,0.08333333333333333,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.10549558423511038,1,0.0,0.0,4.0,,0.0,0.0,9.0,,1.0,0.5,19.0,1,1.0,0.5,38.0,1
c013,comparative,hard,2,2,4,50,True,0.3333333333333333,3.0,0.0,0.0,0.0,,1.0,0.5,0.23463936301137822,1,1.0,0.5,0.19519002499605084,1,1.0,0.5,0.31834121936641585,1,1.0,0.5,0.31834121936641585,1,1.0,0.5,4.0,1,1.0,0.5,8.0,1,1.0,0.5,17.0,1,1.0,1.0,35.0,0;1
c014,comparative,hard,2,2,4,50,True,0.5,2.0,0.0,0.0,0.0,,1.0,0.5,0.2960819109658652,0,1.0,0.5,0.24630238874073,0,1.0,1.0,0.3638184934971571,0;1,1.0,1.0,0.46635163211537906,0;1,1.0,0.5,4.0,0,1.0,1.0,9.0,0;1,1.0,1.0,19.0,0;1,1.0,1.0,38.0,0;1
f001,factual,easy,1,1,2,50,True,0.14285714285714285,7.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.20438239758848611,0,1.0,1.0,0.20438239758848611,0,0.0,0.0,4.0,,1.0,1.0,9.0,0,1.0,1.0,18.0,0,1.0,1.0,36.0,0
f002,factual,medium,1,1,2,50,True,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,5.0,0,1.0,1.0,11.0,0,1.0,1.0,22.0,0,1.0,1.0,43.0,0
f003,factual,hard,1,1,1,50,True,0.023809523809523808,42.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,5.0,,0.0,0.0,10.0,,0.0,0.0,20.0,,0.0,0.0,40.0,
f004,factual,medium,1,1,1,50,True,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,4.0,0,1.0,1.0,9.0,0,1.0,1.0,21.0,0,1.0,1.0,41.0,0
f005,factual,easy,1,1,1,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,6.0,,0.0,0.0,11.0,,0.0,0.0,22.0,,0.0,0.0,44.0,
f006,factual,easy,1,1,2,50,True,0.25,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.2640681225725909,0,1.0,1.0,0.2640681225725909,0,1.0,1.0,0.4173549207639555,0,1.0,1.0,4.0,0,1.0,1.0,9.0,0,1.0,1.0,20.0,0,1.0,1.0,41.0,0
f007,factual,medium,1,1,2,50,True,0.125,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.19342640361727081,0,1.0,1.0,0.19342640361727081,0,0.0,0.0,5.0,,1.0,1.0,10.0,0,1.0,1.0,21.0,0,1.0,1.0,42.0,0
f008,factual,medium,1,1,1,50,True,0.02564102564102564,39.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,4.0,,0.0,0.0,9.0,,0.0,0.0,19.0,,1.0,1.0,40.0,0
f009,factual,easy,1,1,1,50,True,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,5.0,0,1.0,1.0,10.0,0,1.0,1.0,21.0,0,1.0,1.0,43.0,0
f010,factual,medium,1,1,2,50,True,0.022727272727272728,44.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,4.0,,0.0,0.0,9.0,,0.0,0.0,19.0,,0.0,0.0,38.0,
f011,factual,medium,1,1,2,50,True,0.029411764705882353,34.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,5.0,,0.0,0.0,10.0,,0.0,0.0,20.0,,1.0,1.0,41.0,0
f012,factual,medium,1,1,2,50,True,0.25,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.2640681225725909,0,1.0,1.0,0.48247555939075504,0,1.0,1.0,0.48247555939075504,0,1.0,1.0,6.0,0,1.0,1.0,11.0,0,1.0,1.0,21.0,0,1.0,1.0,42.0,0
f013,factual,medium,1,1,3,50,True,0.020833333333333332,48.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,5.0,,0.0,0.0,10.0,,0.0,0.0,19.0,,0.0,0.0,38.0,
f014,factual,medium,1,1,2,50,True,0.16666666666666666,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.21840743681816419,0,1.0,1.0,0.21840743681816419,0,0.0,0.0,5.0,,1.0,1.0,9.0,0,1.0,1.0,18.0,0,1.0,1.0,37.0,0
f015,factual,hard,1,1,1,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,9.0,,0.0,0.0,15.0,,0.0,0.0,27.0,,0.0,0.0,50.0,
f016,factual,medium,1,1,2,50,True,0.06666666666666667,15.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.1532867981913646,0,0.0,0.0,6.0,,0.0,0.0,11.0,,1.0,1.0,24.0,0,1.0,1.0,48.0,0
f017,factual,medium,1,1,2,50,True,0.2,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.23719771276929622,0,1.0,1.0,0.23719771276929622,0,1.0,1.0,0.23719771276929622,0,0.0,0.0,4.0,,1.0,1.0,9.0,0,1.0,1.0,18.0,0,1.0,1.0,36.0,0
f018,factual,medium,1,1,2,50,True,0.2,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.23719771276929622,0,1.0,1.0,0.23719771276929622,0,1.0,1.0,0.23719771276929622,0,1.0,1.0,5.0,0,1.0,1.0,11.0,0,1.0,1.0,22.0,0,1.0,1.0,42.0,0
f019,factual,medium,1,1,1,50,True,0.5,2.0,0.0,0.0,0.0,,1.0,1.0,0.6309297535714575,0,1.0,1.0,0.6309297535714575,0,1.0,1.0,0.6309297535714575,0,1.0,1.0,0.6309297535714575,0,1.0,1.0,4.0,0,1.0,1.0,9.0,0,1.0,1.0,18.0,0,1.0,1.0,37.0,0
f020,factual,medium,1,1,2,50,True,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.6131471927654584,0,1.0,1.0,0.6131471927654584,0,1.0,1.0,0.6131471927654584,0,1.0,1.0,0.6131471927654584,0,1.0,1.0,4.0,0,1.0,1.0,10.0,0,1.0,1.0,20.0,0,1.0,1.0,39.0,0
m001,multi_hop,hard,2,2,4,50,True,0.25,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.16812753627111746,1,1.0,0.5,0.16812753627111746,1,1.0,0.5,0.16812753627111746,1,1.0,0.5,4.0,1,1.0,0.5,9.0,1,1.0,0.5,17.0,1,1.0,0.5,34.0,1
m002,multi_hop,hard,2,2,4,50,True,1.0,1.0,1.0,0.5,1.0,0,1.0,0.5,0.46927872602275644,0,1.0,0.5,0.3903800499921017,0,1.0,0.5,0.3903800499921017,0,1.0,0.5,0.49291318861032357,0,1.0,0.5,4.0,0,1.0,0.5,9.0,0,1.0,0.5,19.0,0,1.0,0.5,39.0,0
m003,multi_hop,hard,2,2,4,50,True,0.5,2.0,0.0,0.0,0.0,,1.0,0.5,0.2960819109658652,1,1.0,0.5,0.24630238874073,1,1.0,0.5,0.24630238874073,1,1.0,0.5,0.24630238874073,1,1.0,0.5,4.0,1,1.0,0.5,8.0,1,1.0,0.5,17.0,1,1.0,1.0,35.0,0;1
m004,multi_hop,hard,2,2,4,50,True,0.3333333333333333,3.0,0.0,0.0,0.0,,1.0,0.5,0.23463936301137822,1,1.0,0.5,0.19519002499605084,1,1.0,0.5,0.19519002499605084,1,1.0,0.5,0.19519002499605084,1,1.0,0.5,5.0,1,1.0,0.5,9.0,1,1.0,0.5,18.0,1,1.0,1.0,37.0,0;1
m005,multi_hop,hard,2,2,4,50,True,0.5,2.0,0.0,0.0,0.0,,1.0,0.5,0.2960819109658652,1,1.0,0.5,0.24630238874073,1,1.0,0.5,0.24630238874073,1,1.0,0.5,0.24630238874073,1,1.0,0.5,4.0,1,1.0,0.5,9.0,1,1.0,0.5,18.0,1,1.0,0.5,36.0,1
m006,multi_hop,hard,2,2,3,50,True,0.25,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.20210734650054757,1,1.0,0.5,0.20210734650054757,1,1.0,0.5,0.20210734650054757,1,1.0,0.5,4.0,1,1.0,0.5,9.0,1,1.0,0.5,18.0,1,1.0,0.5,37.0,1
m007,multi_hop,hard,2,2,4,50,True,0.08333333333333333,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.10549558423511038,0,0.0,0.0,4.0,,0.0,0.0,10.0,,1.0,0.5,19.0,0,1.0,0.5,37.0,0
m008,multi_hop,hard,2,2,4,50,True,0.023255813953488372,43.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,4.0,,0.0,0.0,9.0,,0.0,0.0,18.0,,0.0,0.0,39.0,
m009,multi_hop,hard,2,2,4,50,True,1.0,1.0,1.0,0.5,1.0,0,1.0,0.5,0.46927872602275644,0,1.0,0.5,0.3903800499921017,0,1.0,0.5,0.3903800499921017,0,1.0,1.0,0.4958756342272121,0;1,1.0,0.5,4.0,0,1.0,0.5,8.0,0,1.0,1.0,17.0,0;1,1.0,1.0,36.0,0;1
m010,multi_hop,hard,2,2,4,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,4.0,,0.0,0.0,9.0,,0.0,0.0,18.0,,0.0,0.0,36.0,
m011,multi_hop,hard,2,2,4,50,True,0.08333333333333333,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.10549558423511038,0,0.0,0.0,4.0,,0.0,0.0,9.0,,1.0,0.5,19.0,0,1.0,0.5,37.0,0
m012,multi_hop,hard,2,2,4,50,True,0.16666666666666666,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.13905617951077562,0,1.0,0.5,0.13905617951077562,0,0.0,0.0,5.0,,1.0,0.5,9.0,0,1.0,0.5,19.0,0,1.0,0.5,38.0,0
m013,multi_hop,hard,2,2,2,50,True,0.1111111111111111,9.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.18457569677956817,0,1.0,0.5,0.18457569677956817,0,0.0,0.0,4.0,,1.0,0.5,9.0,0,1.0,0.5,18.0,0,1.0,0.5,37.0,0
m014,multi_hop,hard,2,2,3,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,4.0,,0.0,0.0,8.0,,0.0,0.0,17.0,,0.0,0.0,35.0,
m015,multi_hop,hard,2,2,4,50,True,0.3333333333333333,3.0,0.0,0.0,0.0,,1.0,0.5,0.23463936301137822,0,1.0,0.5,0.19519002499605084,0,1.0,0.5,0.19519002499605084,0,1.0,0.5,0.19519002499605084,0,1.0,0.5,4.0,0,1.0,0.5,9.0,0,1.0,0.5,18.0,0,1.0,0.5,37.0,0
m016,multi_hop,hard,2,2,4,50,True,0.05,20.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.08887792306803073,1,0.0,0.0,4.0,,0.0,0.0,8.0,,0.0,0.0,17.0,,1.0,0.5,36.0,1
m017,multi_hop,hard,2,2,4,50,True,0.05555555555555555,18.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.1807768664366853,0;1,0.0,0.0,4.0,,0.0,0.0,8.0,,1.0,0.5,18.0,0,1.0,1.0,38.0,0;1
m018,multi_hop,hard,2,2,4,50,True,0.1111111111111111,9.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.11751610475642714,0,1.0,1.0,0.213022795619135,0;1,0.0,0.0,5.0,,1.0,0.5,9.0,0,1.0,1.0,19.0,0;1,1.0,1.0,39.0,0;1
u001,unanswerable,hard,0,0,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u002,unanswerable,medium,0,0,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u003,unanswerable,hard,0,0,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u004,unanswerable,medium,0,0,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u005,unanswerable,hard,0,0,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u006,unanswerable,medium,0,0,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u007,unanswerable,medium,0,0,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u008,unanswerable,hard,0,0,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u009,unanswerable,medium,0,0,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u010,unanswerable,medium,0,0,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u011,unanswerable,medium,0,0,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u012,unanswerable,medium,0,0,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u013,unanswerable,medium,0,0,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u014,unanswerable,medium,0,0,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u015,unanswerable,hard,0,0,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u016,unanswerable,hard,0,0,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
