id,question_type,span_index,arxiv_id,quote_chars,oracle_rank,chars_before_hit,hit_chunk_chars,oracle@1,oracle@5,oracle@10
m010,multi_hop,0,2502.16036v1,820,1.0,0.0,1874.0,True,True,True
m010,multi_hop,1,2211.02556v1,1014,1.0,0.0,1936.0,True,True,True
m011,multi_hop,0,2605.14317v1,1014,1.0,0.0,2198.0,True,True,True
m011,multi_hop,1,2308.15560v2,1064,3.0,3366.0,1940.0,False,True,True
m012,multi_hop,0,2605.30122v2,800,1.0,0.0,2183.0,True,True,True
m012,multi_hop,1,2007.04417v2,1101,1.0,0.0,2151.0,True,True,True
m013,multi_hop,0,2008.01798v2,990,,,,False,False,False
m013,multi_hop,1,1506.04214v2,1056,1.0,0.0,1918.0,True,True,True
m014,multi_hop,0,2308.04460v1,811,1.0,0.0,2126.0,True,True,True
m014,multi_hop,1,2211.02556v1,951,3.0,4127.0,1611.0,False,True,True
m015,multi_hop,0,2009.14573v6,940,1.0,0.0,2309.0,True,True,True
m015,multi_hop,1,1506.04214v2,899,1.0,0.0,2283.0,True,True,True
m016,multi_hop,0,2203.13263v1,782,1.0,0.0,2022.0,True,True,True
m016,multi_hop,1,1706.03458v2,1116,2.0,2007.0,2330.0,False,True,True
m017,multi_hop,0,1907.08069v2,694,,,,False,False,False
m017,multi_hop,1,1706.03458v2,830,1.0,0.0,1939.0,True,True,True
m018,multi_hop,0,2404.06668v1,810,1.0,0.0,2505.0,True,True,True
m018,multi_hop,1,2212.12794v2,984,1.0,0.0,1763.0,True,True,True
